Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,audio_path,spect_path,annot_path,annot_format,duration,timebin_dur,split
0,0,0,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0028_2018_05_03_18_19_27.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0028_2018_05_03_18_19_27.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,2.1924,0.0027,train
1,1,1,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0029_2018_05_03_18_21_12.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0029_2018_05_03_18_21_12.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,7.743600000000002,0.0027,train
2,2,2,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0030_2018_05_03_18_21_12.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0030_2018_05_03_18_21_12.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,3.0564,0.0027,train
3,3,3,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0031_2018_05_03_18_21_12.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0031_2018_05_03_18_21_12.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,5.1489,0.0027,train
4,4,4,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0032_2018_05_03_18_22_58.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0032_2018_05_03_18_22_58.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,8.912700000000003,0.0027,train
5,5,5,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0033_2018_05_03_18_22_58.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0033_2018_05_03_18_22_58.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,7.9191,0.0027,train
6,6,6,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0034_2018_05_03_18_24_43.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0034_2018_05_03_18_24_43.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,3.132,0.0027,train
7,7,7,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0035_2018_05_03_18_24_43.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0035_2018_05_03_18_24_43.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,7.2738,0.0027,train
8,8,8,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0036_2018_05_03_18_24_43.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0036_2018_05_03_18_24_43.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,4.6656,0.0027,train
9,9,9,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0037_2018_05_03_18_28_13.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0037_2018_05_03_18_28_13.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,8.086500000000001,0.0027,train
10,10,10,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0038_2018_05_03_18_28_13.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0038_2018_05_03_18_28_13.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,5.6187000000000005,0.0027,train
11,11,11,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0039_2018_05_03_18_28_13.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0039_2018_05_03_18_28_13.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,3.2886,0.0027,train
12,12,12,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0040_2018_05_03_18_29_58.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0040_2018_05_03_18_29_58.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,10.4382,0.0027,train
13,13,13,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0041_2018_05_03_18_29_58.wav,/home/art/Documents/data/birdsong/canary/llb16/annotated/llb16_0041_2018_05_03_18_29_58.wav.npz,/home/art/Documents/data/birdsong/canary/llb16/annotation_files/llb16_annotation_May_2019_alexa_4TF.mat,yarden,10.5192,0.0027,test
