,audio_path,spect_path,annot_path,annot_format,duration,timebin_dur,split
0,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0000_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0000_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,11.774,0.002,None
1,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0001_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0001_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,12.874,0.002,test
2,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0002_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0002_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,9.794,0.002,val
3,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0003_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0003_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,11.81,0.002,test
4,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0004_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0004_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,12.752,0.002,None
5,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0005_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0005_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,11.064,0.002,test
6,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0006_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0006_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,11.658,0.002,None
7,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0007_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0007_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,13.274,0.002,None
8,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0008_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0008_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,11.504,0.002,train
9,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0009_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0009_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,11.278,0.002,None
10,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0010_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0010_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,14.42,0.002,None
11,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0011_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0011_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,14.534,0.002,None
12,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0012_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0012_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,13.83,0.002,test
13,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0013_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0013_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,13.622,0.002,None
14,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0015_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0015_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,8.83,0.002,val
15,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0016_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0016_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,12.528,0.002,None
16,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/Bird9_0017_2021_05_01_13_37_22.wav,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/spectrograms_generated_210527_213351/Bird9_0017_2021_05_01_13_37_22.wav.spect.npz,/home/art/Documents/data/BirdsongRecognition/Bird9/Wave/tweetynet-Bird9_annotation.mat,yarden,11.49,0.002,None
